train_loss	test_loss
1.2903657474202108	1.280343313153796
1.266296860017733	1.268584815172658
1.2577889903223134	1.2615359869114189
1.25234804681447	1.2574678124779484
1.2487198657096794	1.2547284546880626
1.2461334689567078	1.2526200564200696
1.2441484834505543	1.2508382230898074
1.2425216352014237	1.2493807366520067
1.2412196020285289	1.2484011097603858
1.240123264457537	1.2476799159350982
1.2391966436551587	1.2472876409359548
1.238396813662629	1.2465905495656289
1.237665944801618	1.245896349713652
1.23701795192614	1.2455189057758875
1.2364336361623791	1.245212519287667
1.235898769827194	1.2450726784740969
1.2354034406681584	1.2447056487153139
1.2349426021858982	1.2443772091025926
1.2345175498968934	1.2442457172957766
1.2341112454460093	1.2440518768522826
1.2337245616738655	1.244021012537503
1.2333672602154893	1.2438008412966302
1.2330239496274626	1.2437559104837057
1.2327059804032383	1.2434737910067917
1.232392318880177	1.2435777850721366
1.2321025630382643	1.2432680896350317
1.2318198929638624	1.2433471103443259
1.2315479245904373	1.2431570085576207
1.2312708489971074	1.2432940344873853
1.2310221550943645	1.2432546754216038
