train_loss	test_loss
1.2504128147958247	1.2483812131327712
1.2382313240255491	1.244837730826184
1.234296968726084	1.242673867520455
1.2318167028059175	1.2407771882921828
1.2301072957111434	1.2391474377070224
1.2288697413008587	1.2375634291607314
1.2279145138753984	1.2369330879316291
1.227129044274776	1.2359954548821905
1.2265526211892461	1.235580848608769
1.2260951192729665	1.2347112026946674
1.2256585314600281	1.234569879092616
1.2252586462557449	1.2343198994135955
1.224952964836873	1.2338835376426887
1.224674787418489	1.2337191987087124
1.224400597595405	1.2336280304613945
1.2242002152095721	1.2332727441401896
1.2239584881491492	1.232821965959557
1.223752076403612	1.2330421396558215
1.2235339587766636	1.2328108858270763
1.2234186935313223	1.2326679498822857
