train_loss	test_loss
1.3699794107376169	1.383598814771025
1.3855683813356374	1.3835288626807076
1.3855470876715499	1.38352852327087
1.3855389851957696	1.3836633157096432
1.3855375556096639	1.3836062960450435
1.3855376260465684	1.3835575972680634
1.3855372343977836	1.3837267691114812
1.3855344083211194	1.3836513729982598
1.3855331861809508	1.3834308346244584
1.4695945972721327	1.3834956254673956
1.3855318380817432	1.3837521444523453
1.3855334881778176	1.3836082893352573
1.3855332501947064	1.383543469581097
1.3855332645651413	1.3837121756765929
1.3855334615598531	1.3836843405055048
1.3855309071061819	1.3836884878798577
1.3855311651208084	1.383354739889354
1.385531502499428	1.3838692008458895
1.385531699167539	1.3836515100295361
1.3855306209494533	1.3837845285865555
1.3855319552769945	1.383678705985364
1.4247061854628122	1.3836299830496905
1.3855364260608203	1.3836327177345555
1.3855367697537218	1.383989498464768
1.385535090535743	1.383710351893276
1.385536151716154	1.3835286004994796
1.38553495619395	1.38352548759245
1.3855337616515486	1.3836121939345452
1.3855327608378512	1.383650392392941
1.3855308612732038	1.3837521258382701
1.3855324906845616	1.3833720771181226
1.3855320599525487	1.3833417888495614
1.3855306855619771	1.3834375206418212
1.3855312605426735	1.3836113998660218
1.3855317184369857	1.3837210795412032
1.385529836944249	1.383614245443249
1.3855313463298153	1.383560786611614
1.3855319323605053	1.3835156181721988
1.3855312806286224	1.3837309806449865
1.385531940960993	1.3836119412583767
1.3855309617029476	1.3836198910526263
1.3855304551995509	1.3837487657996903
