train_loss	test_loss
1.2499086671642745	1.2485170569657291
1.237977919081331	1.2442494319187656
1.2339008475103836	1.2420159163811395
1.231478852385031	1.2394825008400248
1.2294774106237267	1.2377969002080655
1.2282326482663748	1.2365485189861283
1.227258015989366	1.2359128426219417
1.2265723526569665	1.2350003728975398
1.226032240737363	1.2352167271232208
1.2254826540435588	1.2342791649563183
1.2250320277429867	1.2336811109944499
1.2246799908315174	1.2331790403459082
1.2243349260067629	1.2333047558657857
1.2239682551395348	1.2333105978134757
1.2237536733086936	1.2328555185023184
1.2235488653196591	1.232780040423405
1.2233026516872294	1.2322749309272687
1.2231348083277938	1.2321825374458835
