tissue	assay	species	filename	original
Liver	H3K4me3	sus_scrofa	Liver H3K4me3.bed.gz	GSM4256291_ES_2W_2_Liver_H3K4me3.narrowPeak.gz,GSM4256262_Duroc_2W_1_Liver_H3K4me3.narrowPeak.gz,GSM4256332_LW_2W_1_Liver_H3K4me3.narrowPeak.gz,GSM4256263_Duroc_2W_2_Liver_H3K4me3.narrowPeak.gz,GSM4256290_ES_2W_1_Liver_H3K4me3.narrowPeak.gz,GSM4256365_MS_2W_2_Liver_H3K4me3.narrowPeak.gz,GSM4256364_MS_2W_1_Liver_H3K4me3.narrowPeak.gz,GSM4256333_LW_2W_2_Liver_H3K4me3.narrowPeak.gz
Thymus	H3K27ac	sus_scrofa	Thymus H3K27ac.bed.gz	GSM4256304_ES_2W_1_Thymus_H3K27ac.narrowPeak.gz,GSM4256350_LW_2W_1_Thymus_H3K27ac.narrowPeak.gz,GSM4256351_LW_2W_2_Thymus_H3K27ac.narrowPeak.gz
Fat	ATAC	sus_scrofa	Fat ATAC.bed.gz	GSM4256375_Duroc_2W_2_Fat_ATAC.narrowPeak.gz,GSM4256383_ES_2W_1_Fat_ATAC.narrowPeak.gz,GSM4256398_MS_2W_2_Fat_ATAC.narrowPeak.gz,GSM4256384_ES_2W_2_Fat_ATAC.narrowPeak.gz,GSM4256397_MS_2W_1_Fat_ATAC.narrowPeak.gz,GSM4256392_LW_2W_2_Fat_ATAC.narrowPeak.gz,GSM4256391_LW_2W_1_Fat_ATAC.narrowPeak.gz,GSM4256374_Duroc_2W_1_Fat_ATAC.narrowPeak.gz
Thymus	H3K4me3	sus_scrofa	Thymus H3K4me3.bed.gz	GSM4256305_ES_2W_1_Thymus_H3K4me3.narrowPeak.gz,GSM4256352_LW_2W_1_Thymus_H3K4me3.narrowPeak.gz,GSM4256353_LW_2W_2_Thymus_H3K4me3.narrowPeak.gz
Pancreas	H3K27ac	sus_scrofa	Pancreas H3K27ac.bed.gz	GSM4256298_ES_2W_1_Pancreas_H3K27ac.narrowPeak.gz,GSM4256342_LW_2W_1_Pancreas_H3K27ac.narrowPeak.gz,GSM4256343_LW_2W_2_Pancreas_H3K27ac.narrowPeak.gz
Spleen	H3K4me3	sus_scrofa	Spleen H3K4me3.bed.gz	GSM4256372_MS_2W_1_Spleen_H3K4me3.narrowPeak.gz,GSM4256271_Duroc_2W_2_Spleen_H3K4me3.narrowPeak.gz,GSM4256373_MS_2W_2_Spleen_H3K4me3.narrowPeak.gz,GSM4256303_ES_2W_2_Spleen_H3K4me3.narrowPeak.gz,GSM4256302_ES_2W_1_Spleen_H3K4me3.narrowPeak.gz,GSM4256348_LW_2W_1_Spleen_H3K4me3.narrowPeak.gz,GSM4256270_Duroc_2W_1_Spleen_H3K4me3.narrowPeak.gz,GSM4256349_LW_2W_2_Spleen_H3K4me3.narrowPeak.gz
Muscle	H3K4me3	sus_scrofa	Muscle H3K4me3.bed.gz	GSM4256368_MS_2W_1_Muscle_H3K4me3.narrowPeak.gz,GSM4256296_ES_2W_1_Muscle_H3K4me3.narrowPeak.gz,GSM4256267_Duroc_2W_2_Muscle_H3K4me3.narrowPeak.gz,GSM4256297_ES_2W_2_Muscle_H3K4me3.narrowPeak.gz,GSM4256266_Duroc_2W_1_Muscle_H3K4me3.narrowPeak.gz,GSM4256340_LW_2W_1_Muscle_H3K4me3.narrowPeak.gz,GSM4256341_LW_2W_2_Muscle_H3K4me3.narrowPeak.gz,GSM4256369_MS_2W_2_Muscle_H3K4me3.narrowPeak.gz
Duodenum	H3K4me3	sus_scrofa	Duodenum H3K4me3.bed.gz	GSM4256277_ES_2W_1_Duodenum_H3K4me3.narrowPeak.gz,GSM4256316_LW_2W_1_Duodenum_H3K4me3.narrowPeak.gz,GSM4256317_LW_2W_2_Duodenum_H3K4me3.narrowPeak.gz
Kidney	H3K4me3	sus_scrofa	Kidney H3K4me3.bed.gz	GSM4256287_ES_2W_1_Kidney_H3K4me3.narrowPeak.gz,GSM4256329_LW_2W_2_Kidney_H3K4me3.narrowPeak.gz,GSM4256328_LW_2W_1_Kidney_H3K4me3.narrowPeak.gz
Muscle	H3K27ac	sus_scrofa	Muscle H3K27ac.bed.gz	GSM4256294_ES_2W_1_Muscle_H3K27ac.narrowPeak.gz,GSM4256338_LW_2W_1_Muscle_H3K27ac.narrowPeak.gz,GSM4256366_MS_2W_1_Muscle_H3K27ac.narrowPeak.gz,GSM4256264_Duroc_2W_1_Muscle_H3K27ac.narrowPeak.gz,GSM4256295_ES_2W_2_Muscle_H3K27ac.narrowPeak.gz,GSM4256265_Duroc_2W_2_Muscle_H3K27ac.narrowPeak.gz,GSM4256339_LW_2W_2_Muscle_H3K27ac.narrowPeak.gz,GSM4256367_MS_2W_2_Muscle_H3K27ac.narrowPeak.gz
